bear#1,bear#2,time,low,est,high,sex,season_breeding,timestart,timestop,pair1_ess_before,pair2_ess_before,pair1_ess_after,pair2_ess_after
EVGM106,EVGF91,2021-06-01 22:00:38,26.77490344,35.20690596,44.18108163,F_M,breeding,2021-04-20 16:02:57,2021-09-25 16:00:38,4.216036982695543,8.573205474375369,28.073436177453072,27.00432589703292
EVGM106,EVGM80,2020-10-08 0:00:11,287.9896428,297.8474816,307.7864597,M_M,hunting,2020-09-28 6:00:00,2020-11-13 5:03:00,2.475561855621534,2.076542330330935,5.430532732121177,11.66630662438702
EVGM77,EVGF85,2018-10-19 0:00:00,38.26058165,57.70227563,78.99804466,F_M,hunting,2018-09-23 0:00:00,2018-10-23 12:00:00,3.181887086673079,50.61094584216535,6.7011639517669295,16.000000000000025
EVGM77,EVGF85,2019-09-26 0:00:00,44.4743279,44.4743279,44.4743279,F_M,hunting,2019-09-18 0:00:00,2019-11-13 23:00:00,2.517139576339994,17.04138148900577,6.394578631804568,83.21197108873285
EVGM77,EVGM52,2018-10-19 6:00:00,61.06546836,74.40110613,88.36148236,M_M,hunting,2018-05-07 0:00:00,2018-11-21 6:01:00,5.973638490027434,19.04954770749393,7.557842277764403,34.84369330758666
EVGM77,EVGF102,2019-10-19 6:00:00,114.5879629,114.5879655,114.5879681,F_M,hunting,2019-09-22 22:00:00,2019-11-03 11:00:00,4.878252460738557,7.661846809696955,2.0851192946703314,3.3506851597235188
EVGM59,EVGF67,2017-09-25 2:00:00,31.09097025,170.1070642,367.1813282,M_M,hunting,2017-09-13 6:00:00,2017-10-15 12:00:00,2.5378446572202167,3.959447347591791,4.146400194766443,2.7167030904035765
EVGM59,EVGF64,2017-10-07 0:00:00,256.4114382,256.4114457,256.4114532,F_M,hunting,2017-08-26 23:54:00,2017-10-15 12:00:00,2.152606299925409,27.15357630059663,1.6520174875243048,4.632195663470969
EVGM76,EVGF85,2018-10-15 18:00:00,88.32392069,88.32392256,88.32392443,F_M,hunting,2018-09-23 0:00:00,2018-11-19 11:00:00,16.512681795536057,41.34370461301761,1.6744852884579282,22.915453617610883
EVGM76,EVGM52,2018-10-17 6:00:00,82.02059992,82.02059992,82.02059992,M_M,hunting,2018-05-10 0:00:00,2018-11-14 23:01:00,13.018386186614226,18.23524977990545,2.4428789958752963,44.50250667837524
EVGM90,EVGF73,2018-10-23 18:00:00,17.4648221,17.4648221,17.4648221,F_M,hunting,2018-10-01 6:00:00,2018-11-01 7:00:00,13.048114673957729,11.591075067623477,13.299331781480616,8.805853071886435
EVGF66,EVGF67,2017-09-16 0:00:00,17.44792827,47.79241685,85.26937276,F_M,hunting,2017-09-13 6:00:00,2017-10-30 9:59:00,2.202582978515984,6.843330071149655,13.817815956563251,5.469479916551611
EVGF66,EVGF91,2021-06-12 16:00:22,19.81734122,19.81734122,19.81734122,F_F,breeding,2021-04-15 14:03:54,2021-09-15 6:00:58,13.333904770730378,14.352392317103249,44.54241059880617,20.53293602255532
EVGF66,EVGF97,2020-10-04 20:00:50,37.27877928,45.97330165,55.09936944,F_F,hunting,2020-09-26 22:00:19,2020-11-01 11:01:00,2.24163386932788,2.3452594683907377,13.83294077381965,28.36200869215624
EVGM44,EVGF73,2017-10-25 6:00:00,27.92576737,27.92576737,27.92576737,F_M,hunting,2017-09-22 6:00:00,2017-11-24 17:31:00,43.3701851083902,6.168221895881475,10.236473307836176,3.607831681172879
EVGF116,EVGF115,2022-08-13 1:00:36,116.7521908,117.2482609,117.7448491,F_F,other,2022-04-21 11:00:44,2022-09-25 17:01:08,11.08855894610122,24.38868521972256,19.54883746379361,29.850159925271036
EVGF56,EVGM52,2017-05-25 6:00:00,1.280299716,9.073547637,20.69740111,F_M,other,2017-05-20 0:00:00,2017-09-09 13:42:00,1.250827433112936,2.4597623293823445,17.905733736797277,36.25215213814652
EVGF73,EVGF45,2018-09-24 18:00:00,484.6103841,484.6103841,484.6103841,F_F,hunting,2018-05-01 7:02:55,2018-10-31 6:01:00,20.942958643394892,15.038973404641643,18.09691944917046,30.355869417381943
EVGF85,EVGM52,2018-10-18 18:00:00,88.25459969,88.25459969,88.25459969,F_M,hunting,2018-09-23 0:00:00,2018-11-21 6:01:00,50.07034004407835,8.562874205062284,17.334402251283187,35.10904414875248
EVGF85,EVGF102,2019-10-19 6:00:00,304.5912669,304.5912669,304.5912669,F_F,hunting,2019-09-22 22:00:00,2019-11-02 18:01:00,61.82669676805823,7.661851649102395,15.30180023348712,3.244098305501939
EVGM52,EVGF72,2017-10-27 18:00:00,56.04159464,405.403158,928.5710321,F_M,hunting,2017-09-21 6:01:00,2017-10-31 12:00:00,12.73697728599114,10.03966685308824,1.850847662203632,4.597968005393885
EVGM52,EVGF64,2017-10-16 6:01:00,25.61854296,164.9445308,368.8922113,F_M,hunting,2017-08-26 23:54:00,2017-11-01 7:00:00,22.700623053727643,30.81601002698594,8.08637048438125,9.129927848678893
EVGM52,EVGF64,2018-06-20 0:00:00,3.905932896,3.905932896,3.905932896,F_M,breeding,2018-05-31 0:00:00,2018-06-28 12:00:00,4.363242183662157,13.790929922427631,1.517151009486585,5.726801429832607
EVGF72,EVGF64,2017-10-11 0:00:00,21.37682737,21.37682737,21.37682737,F_F,hunting,2017-09-21 6:01:00,2017-11-06 6:00:00,5.772394645199334,9.828220994610692,9.984572366708196,19.246801966726075
EVGF102,EVGM80,2020-11-04 1:00:00,16.36020087,27.00005963,38.87179446,F_M,hunting,2020-09-28 6:00:00,2020-11-16 13:00:00,18.37670230624309,11.358954482027832,2.3016331895214455,3.681217514838307
EVGM78,EVGF64,2018-07-30 0:00:00,254.7194807,265.1758361,275.7349102,F_M,breeding,2018-05-31 0:00:00,2018-08-24 12:00:00,14.647777222941048,39.80551146707012,3.6735048427372,17.124016957765768
